#,Anodes,Duration,Notes,Paint,Prop,Thru-hulls,Time In,Time Out
01,Fair,56,"Heavy hard growth on waterline, lower keel, lower rudder, prop, and prop shaft. Paint anti-fouling properties have mostly failed. Will be much faster now and prop should work much better!",Poor,"Good, Polished",Sound,1655,1751
02,,32,,,,,1245,1317
