#,Anodes,Date,Growth,Notes,Paint,Prop,Thru-hulls
4,Excellent,04/07/2023,"Minimal, Moderate","Replaced shaft (streamlined 1”). Widespread heavy three-dimensional growth removed, widespread embedded black algae",Poor,Good,Sound
2,"Fair, Missing",02/05/2023,Moderate,"Anode missing from keel, likely missing one shaft anode to be replaced on next visit",Poor,"Good, Polished",Sound
1,Fair,01/04/2023,Moderate,,Poor,Good,Sound
3,Excellent,03/04/2023,"Minimal, Moderate","Hard-shelled animal growth observed and removed from keel, widespread embedded black algae. installed MTY-CMR04 RUDDER ZINC ANODE",Poor,Good,Sound
5,Good,05/04/2023,"Minimal, Moderate","Waterline paint failure. Can no longer be cleaned without damaging gel coat/ hull. ",Poor,Polished,Sound
,,,,,,,
6,Good,06/02/2023,"Heavy, Moderate",,Poor,Good,Sound
