#,Anodes,Date,Growth,Notes,Paint,Prop,Thru-hulls
02,"Fair, Good",05/06/2023,"Minimal, Moderate",,"Fair, Poor",Good,Sound
01,Good,04/13/2023,"Heavy, Moderate",Paint type appears to be ablative,Poor,Good,Sound
03,Fair,06/06/2023,Minimal,"Barnacles on keel from sitting in mud ","Excellent, Fair",Good,Sound
04,Fair,07/04/2023,"Heavy, Moderate","Barnacles on keel from sitting in mud ",Fair,Good,Sound
05,Fair,08/03/2023,"Heavy, Moderate",,"Fair, Poor",Good,Sound
