#,Date,Paint,Growth,Anodes,Thru-hulls,Prop,Notes,Installed
01,10/01/2023,Poor,Heavy,Fair,Sound,"Good, Polished","Heavy hard growth on waterline, lower keel, lower rudder, prop, and prop shaft. Paint anti-fouling properties have mostly failed. Will be much faster now and prop should work much better!",
02,01/23/2025,"Missing, Poor","Heavy, Severe",Fair,Sound,Good,Large patches of heavy mussels and barnacles found and removed around the hull and keel. Ready for haul out!,
