#,Anodes,Date,Growth,Installed,Notes,Paint,Prop,Thru-hulls
01,"Good, Missing",03/07/2025,Severe,,"Severe dense mussel growth over entirety of hull and running gear, removed. ",Poor,Good,Sound
02,"Fair, Good",06/09/2025,Heavy,,"Will install port shaft anodes and small transom anode on next service. ",Poor,Good,Sound
