#,Anodes,Date,Growth,Installed,Notes,Paint,Prop,Thru-hulls
01,Good,05/23/2025,"Heavy, Moderate",,"Old electrolysis damage on the prop ","Missing, Poor",Good,Sound
02,Good,08/06/2025,Heavy,,,"Missing, Poor",Good,Sound
