#,Date,Paint,Growth,Anodes,Thru-hulls,Prop,Notes,Installed
01,05/07/2025,"Missing, Poor",Severe,Missing,Sound,Good,"Widespread severe mussel and barnacle growth removed. Recommend hauling out for repainting ASAP. Anodes largely missing, will return to install new anodes.",
02,06/04/2025,,,,,,"Installed 3 shaft, 2 rudder, and 2 trim tab anodes. Need to find correct size hull anode. ",7
