#,Anodes,Date,Growth,Installed,Notes,Paint,Prop,Thru-hulls
01,Good,06/06/2025,Heavy,,"“Catalina smile” crack around forward keel. Some gel coat damage in this area as well. Paint missing in various locations. Port aft waterline submerged. ","Missing, Poor",Polished,Sound
02,Good,10/24/2025,Heavy,,"Aft waterline remains submerged causing heavy growth on the gelcoat above the bottom paint. Recommend redistributing weight aboard, or raising waterline on the next haul-out. Paint is no longer effective. Missing paint is widespread, along with small blisters, most notable on the rudder.","Missing, Poor",Polished,Sound
