#,Date,Paint,Growth,Anodes,Thru-hulls,Prop,Notes,Installed
01,03/07/2025,Poor,Severe,"Good, Missing",Sound,Good,"Severe dense mussel growth over entirety of hull and running gear, removed. ",
02,06/09/2025,Poor,Heavy,"Fair, Good",Sound,Good,"Will install port shaft anodes and small transom anode on next service. ",
