#,Time In,Time Out,Duration
13,1350,,-830
11,1211,1250,39
10,1317,1343,26
09,1430,1509,39
08,1407,1440,33
06,1241,1304,23
07,1451,1529,38
06,1533,1602,29
03,1517,1607,50
05,1415,1446,31
04,1310,1336,26
02,1347,1422,35
01,1200,1232,32
