#,Anodes,Date,Duration,Notes,Paint,Prop,Thru-hulls,Time In,Time Out
01,None,,43,Damage to the lower leading edge of the keel. Ablative paint.,"Fair, Poor",None,Sound,1200,1243
02,None,,26,,"Fair, Poor",None,Sound,1511,1537
04,None,,11,,Poor,None,Sound,1534,1545
03,None,,60,"Aft upper keel at hull joint is deteriorating. Recommend hauling out for further inspection and or repair at earliest opportunity. Paint also worth replacing at that time. ","Fair, Poor",None,Sound,1105,1205
05,None,,17,,"Missing, Poor",None,Sound,1548,1605
06,None,,19,,"Missing, Poor",None,Sound,1247,1306
07,,,17,,,,,1320,1337
07,,,11,,,,,1400,1411
