#,Interval,Date,Secondary Visit,Paint,Growth,Anodes,Thru-hulls,Prop,Notes
01,6,03/04/2023,No,"Fair, Good, Missing",Heavy,None,Sound,None,"Some scrapes through paint on port side,  forward. "
02,6,03/31/2024,No,"Fair, Missing","Heavy, Moderate",None,Sound,None,
03,6,10/18/2024,No,"Fair, Missing","Heavy, Moderate",None,Sound,Possible Issue,"Corrosion of outboard lower unit observed. Recommend removing it from the water. Bottom paint missing in several areas, heavy growth in those areas. "
04,,04/08/2025,No,"Fair, Poor",Heavy,None,Sound,Possible Issue,
05,,10/22/2025,No,"Missing, Poor",Heavy,None,Sound,None,
