#,Time In,Time Out,Duration
19,1521,1556,35
18,1500,1515,15
16,1337,1426,49
14,1444,1513,29
12,1347,1418,31
11,1402,1434,32
10,1241,1326,45
08,1330,1415,45
09,1425,1502,37
06,1208,1218,10
07,1012,1054,42
05,1013,1136,83
04,1708,1726,18
03,1025,1135,70
02,1113,1205,52
01,1200,1207,7
