#,Anodes,Date,Duration,Growth,Notes,Paint,Prop,Thru-hulls,Time In,Time Out
1,,07/04/2023,15,Heavy,"Observational visit. Will order divers dream, 2x rudder, 4x 1.5” streamlined shaft.",,,,1112,1127
2,"Fair, Replaced",07/17/2023,60,Heavy,"Replaced 2x shaft anodes port and added 2x shaft anodes starboard. Rudder anodes good to fair, not replaced. Divers dream transom anode replaced. ",,,,1500,1600
