#,Date,Paint,Growth,Anodes,Thru-hulls,Prop,Notes,Installed
01,02/02/2023,"Fair, Poor",Heavy,None,Sound,None,Damage to the lower leading edge of the keel. Ablative paint.,
02,05/01/2023,"Fair, Poor",Moderate,None,Sound,None,,
03,11/02/2023,"Fair, Poor","Heavy, Moderate",None,Sound,None,"Aft upper keel at hull joint is deteriorating. Recommend hauling out for further inspection and or repair at earliest opportunity. Paint also worth replacing at that time. ",
04,05/14/2024,Poor,"Heavy, Moderate",None,Sound,None,,
05,08/12/2024,"Missing, Poor",Heavy,None,Sound,None,,
06,11/25/2024,"Missing, Poor",Moderate,None,Sound,None,,
07,02/20/2025,"Missing, Poor",Moderate,None,Sound,None,,
07,05/15/2025,"Missing, Poor",Heavy,None,Sound,None,,
08,08/13/2025,"Missing, Poor",Heavy,None,Sound,None,,
