#,Anodes,Date,Growth,Interval,Notes,Paint,Prop,Secondary Visit,Thru-hulls
02,None,03/31/2024,"Heavy, Moderate",6,,"Fair, Missing",None,No,Sound
01,None,03/04/2023,Heavy,6,"Some scrapes through paint on port side,  forward. ","Fair, Good, Missing",None,No,Sound
03,None,10/18/2024,"Heavy, Moderate",6,"Corrosion of outboard lower unit observed. Recommend removing it from the water. Bottom paint missing in several areas, heavy growth in those areas. ","Fair, Missing",Possible Issue,No,Sound
04,None,04/08/2025,Heavy,,,"Fair, Poor",Possible Issue,No,Sound
05,None,10/22/2025,Heavy,,,"Missing, Poor",None,No,Sound
