#,Time In,Time Out,Duration
11,1343,1402,19
10,1140,1158,18
09,1319,1332,13
08,1313,1335,22
07,1511,1533,22
06,1324,1350,26
05,1347,1421,34
03,1023,1047,24
04,1501,1525,24
02,1249,1316,27
01,,,0
