#,Date,Paint,Growth,Anodes,Thru-hulls,Prop,Notes
01,04/13/2023,Poor,"Heavy, Moderate",Good,Sound,Good,Paint type appears to be ablative
02,05/06/2023,"Fair, Poor","Minimal, Moderate","Fair, Good",Sound,Good,
03,06/06/2023,"Excellent, Fair",Minimal,Fair,Sound,Good,"Barnacles on keel from sitting in mud "
04,07/04/2023,Fair,"Heavy, Moderate",Fair,Sound,Good,"Barnacles on keel from sitting in mud "
05,08/03/2023,"Fair, Poor","Heavy, Moderate",Fair,Sound,Good,
