#,Date,Time In,Paint,Growth,Anodes,Thru-hulls,Prop,Notes,Time Out,Duration
3,07/03/2023,1549,Poor,Heavy,None,Sound,None,,1630,41
2,04/03/2023,1436,Poor,Heavy,None,Sound,None,Replace shaft anode on next service. Cleared aft port thru-hull drain.,1526,50
1,02/02/2023,,Poor,Heavy,None,Sound,None,Widespread damage to forward and bottom edges of keel. Recommend tilting outboard up and out of the water (I can help with this). Prop polishing performed!,,0
