#,Date,Time In,Paint,Growth,Anodes,Thru-hulls,Prop,Notes,Time Out,Duration
2,07/17/2023,1500,,Heavy,"Fair, Replaced",,,"Replaced 2x shaft anodes port and added 2x shaft anodes starboard. Rudder anodes good to fair, not replaced. Divers dream transom anode replaced. ",1600,60
1,07/04/2023,1112,,Heavy,,,,"Observational visit. Will order divers dream, 2x rudder, 4x 1.5” streamlined shaft.",1127,15
