#,Time In,Time Out,Duration,$ Time,# Installed,Adjustments
10,1115,1152,37,,,
09,1200,1224,24,,,
08,1203,1217,14,,,
07,1346,1428,42,,,
06,1333,1412,39,,,
05,1142,1152,10,,,
03,1355,1431,36,,,$0.00
04,1242,1320,38,,,
02,1210,1300,50,,,
01,913,1027,74,,,
