#,Duration,Time In,Time Out
07,22,1405,1427
02,21,1135,1156
01,20,1200,1220
08,20,1115,1135
03,19,1152,1211
06,22,1138,1200
04,19,1211,1230
05,25,1035,1100
09,12,1423,1435
10,14,1337,1351
11,13,1245,1258
12,9,1445,1454
13,12,1210,1222
14,8,1307,1315
16,10,1435,1445
