#,Duration,Time In,Time Out
05,34,1044,1118
02,29,1237,1306
07,20,1311,1331
01,23,1724,1747
06,31,1226,1257
04,36,1410,1446
03,35,1553,1628
08,25,1536,1601
09,22,1222,1244
10,35,1040,1115
11,21,1436,1457
12,17,1346,1403
13,22,1335,1357
14,23,1230,1253
15,18,1423,1441
