Name,List Price,I Pay,Svendsen Retail,Customer Price,Margin
Camp X-2 Shaft Anode,$9.09,$8.18,$12.37,12.37,4
https://www.boatzincs.com/prop_nut_specs-rep.html,$7.95,$7.16,$12.88,12.88,5
,,$0.00,,0,0
