#,Anodes,Date,Growth,Notes,Paint,Prop,Thru-hulls
2,Excellent,06/03/2023,Minimal,,Excellent,Good,Sound
1,Fair,04/14/2023,"Minimal, Moderate",,Good,Good,Sound
