#,Duration,Time In,Time Out
04,21,1614,1635
06,25,1340,1405
07,30,1401,1431
05,31,1059,1130
01,58,1148,1246
02,32,1421,1453
03,28,1653,1721
08,30,1553,1623
09,24,1350,1414
10,19,1330,1349
11,9,1543,1552
12,15,1425,1440
13,11,1137,1148
14,18,1218,1236
15,12,1343,1355
16,12,1451,1503
