#,Date,Paint,Growth,Anodes,Thru-hulls,Prop,Notes,Installed
01,02/18/2025,Poor,Heavy,"Fair, Missing",Sound,Good,"Remove fabric and line from port prop. Heavy hard growth in multiple areas. ",
02,03/17/2025,Not Evaluated,Not Evaluated,Replaced,Not Evaluated,Good,Installed 4x heavy duty shaft anodes. 1” chip observed missing from edge of one blade of starboard prop. Please see the video.,
,,,,,,,,
