#,$ Materials,$ Time,Adjustments,Anodes,Base Fee,Date,Duration,Growth,Interval,Monthly,Notes,Paint,Prop,Secondary Visit,Thru-hulls,Time In,Time Out,Total,Xtra Minutes
01,$0.00,$60.00,,"Good, Replaced",$99.00,12/04/2023,50,Minimal,3,$53.00,"Replaced 2x 1 3/8” streamlined shaft anodes. Other two shaft anodes and stern plates in good condition. Potential issued with rudders with paint eroding in pattern similar to electrolysis. Recommend contacting manufacturer and sharing video. Starboard trim tab missing nuts where actuator connects to tab. I’ll bring an array of fasteners next time but if you procure the correct sizes that would be helpful. Arranged the remaining anodes on the end of the dock, will replace in dockbox this week (I work from the water and have to remove a signifacnt amount of gear to come onto the dock). ",Excellent,Polished,No,Sound,944,1034,$159.00,30
02,,$16.00,,Not Evaluated,$99.00,01/02/2024,8,Not Evaluated,2,$8.00,"Inspected the bolts attaching the trim actuators to the trim tabs. While one is loose on the starboard side and can be removed by hand, there is not actually any space to install a nut on the backside, and none of the other 3 fasteners (2 on each tab) have a nut, either. What they do appear to have, is a type of hardened plastic coating on the threads which seems to make the bolt thick enough to not back out. This coating seems to have broken off on the starboard-most bolt. This area is very hard to access from the water. However, given that the bolt seems to not be inclined to back out during all of your use of the boat, I think it’s something we can probably monitor and repair properly on the next haul-out.",Not Evaluated,Good,Yes,Not Evaluated,1149,1157,$16.00,8
03,,$6.00,,"Good, Replaced",$99.00,03/01/2024,23,Minimal,3,$35.00,"Replaced a single shaft anode that had come loose. ",Excellent,Good,No,Sound,1324,1347,$105.00,3
04,,$26.00,,Good,$99.00,06/04/2024,33,"Heavy, Minimal",3,$41.00,,Excellent,Good,No,Sound,1453,1526,$125.00,13
05,,$60.00,,"Good, Replaced",$99.00,09/11/2024,50,"Minimal, Moderate",3,$53.00,,Good,Polished,No,Sound,1255,1345,$159.00,30
