#,Time In,Time Out,Duration
12,1336,1353,17
11,1200,1220,20
10,1200,1220,20
09,1526,1555,29
08,1617,1644,27
07,1312,1335,23
06,1629,1650,21
05,1346,1410,24
04,1750,1820,30
03,1235,1304,29
02,1541,1617,36
01,1309,1354,45
