#,Anodes,Date,Duration,Growth,Notes,Paint,Prop,Thru-hulls,Time In,Time Out
2,None,04/03/2023,50,Heavy,Replace shaft anode on next service. Cleared aft port thru-hull drain.,Poor,None,Sound,1436,1526
1,None,02/02/2023,0,Heavy,Widespread damage to forward and bottom edges of keel. Recommend tilting outboard up and out of the water (I can help with this). Prop polishing performed!,Poor,None,Sound,,
3,None,07/03/2023,41,Heavy,,Poor,None,Sound,1549,1630
