#,Time In,Time Out,Duration
10,1405,1426,21
08,1500,1518,18
08,1250,1315,25
07,1200,1220,20
06,1412,1425,13
05,1240,1256,16
04,1528,1551,23
03,1606,1630,24
02,1618,1651,33
01,1332,1352,20
