#,Anodes,Date,Duration,Notes,Paint,Prop,Secondary Visit,Thru-hulls,Time In,Time Out
01,None,03/04/2023,41,"Some scrapes through paint on port side,  forward. ","Fair, Good, Missing",None,No,Sound,1641,1722
03,None,10/18/2024,27,"Corrosion of outboard lower unit observed. Recommend removing it from the water. Bottom paint missing in several areas, heavy growth in those areas. ","Fair, Missing",,No,Sound,1122,1149
02,None,03/31/2024,21,,"Fair, Missing",None,No,Sound,1641,1702
05,,10/22/2025,17,,,,No,,1435,1452
