#,Duration,Time In,Time Out
06,47,1200,1247
06,32,1518,1550
05,63,1449,1552
02,39,1315,1354
07,2,1243,1245
04,56,1244,1340
03,57,1350,1447
01,50,1200,1250
08,36,1424,1500
09,37,1446,1523
10,31,1340,1411
11,44,1158,1242
12,27,1338,1405
13,30,1242,1312
14,29,1355,1424
15,32,1540,1612
16,21,1224,1245
17,45,1505,1550
