#,Time In,Time Out,Duration
14,1524,1538,14
12,,,0
11,1433,1443,10
10,1529,1539,10
09,1419,1434,15
06,1228,1237,9
07,1556,1614,18
08,1200,1220,20
05,1440,1534,54
04,1328,1400,32
03,1612,1724,72
02,1126,1222,56
01,1100,1153,53
