#,Time In,Time Out,Duration
11,1333,1437,64
10,1115,1211,56
09,1230,1313,43
08,1159,1253,54
07,1345,1445,60
06,1300,1356,56
04,1250,1349,59
05,1410,1457,47
03,1405,1615,130
02,1209,1358,109
01,1724,1734,10
