#,Anodes,Date,Growth,Paint,Prop,Thru-hulls
01,None,04/09/2023,Heavy,"Missing, Poor",None,Sound
03,None,10/08/2023,Heavy,"Missing, Poor",None,Sound
02,None,06/05/2023,"Heavy, Minimal","Missing, Poor",None,Sound
04,None,01/07/2024,"Heavy, Moderate","Missing, Poor",None,Sound
