#,Anodes,Date,Growth,Installed,Notes,Paint,Prop,Thru-hulls
01,None,02/02/2023,Heavy,,Damage to the lower leading edge of the keel. Ablative paint.,"Fair, Poor",None,Sound
04,None,05/14/2024,"Heavy, Moderate",,,Poor,None,Sound
02,None,05/01/2023,Moderate,,,"Fair, Poor",None,Sound
03,None,11/02/2023,"Heavy, Moderate",,"Aft upper keel at hull joint is deteriorating. Recommend hauling out for further inspection and or repair at earliest opportunity. Paint also worth replacing at that time. ","Fair, Poor",None,Sound
06,None,11/25/2024,Moderate,,,"Missing, Poor",None,Sound
05,None,08/12/2024,Heavy,,,"Missing, Poor",None,Sound
07,None,02/20/2025,Moderate,,,"Missing, Poor",None,Sound
07,None,05/15/2025,Heavy,,,"Missing, Poor",None,Sound
08,None,08/13/2025,Heavy,,,"Missing, Poor",None,Sound
