#,Date,Time In,Time Out,Duration
07,,1400,1411,11
07,,1320,1337,17
06,,1247,1306,19
05,,1548,1605,17
04,,1534,1545,11
03,,1105,1205,60
02,,1511,1537,26
01,,1200,1243,43
