#,Date,Paint,Growth,Anodes,Thru-hulls,Prop
01,04/09/2023,"Missing, Poor",Heavy,None,Sound,None
02,06/05/2023,"Missing, Poor","Heavy, Minimal",None,Sound,None
03,10/08/2023,"Missing, Poor",Heavy,None,Sound,None
04,01/07/2024,"Missing, Poor","Heavy, Moderate",None,Sound,None
