#,Time In,Time Out,Duration
14,1345,1410,25
13,1312,1348,36
11,1436,1505,29
12,1407,1433,26
10,1443,1515,32
05,1120,1208,48
09,1425,1500,35
06,1449,1525,36
04,1509,1554,45
03,1656,1729,33
02,1437,1450,13
01,1200,1240,40
