#,Date,Paint,Growth,Anodes,Thru-hulls,Prop,Notes,Installed
01,06/04/2023,,Heavy,"Good, Replaced",,Good,"Replaced 2x shaft anodes port, 2x starboard, one rudder anode port. There are at least 5 shaft anodes each side, remaining shaft anodes could stand to be replaced as well. Plate hull anode and starboard rudder anode in good condition. Will return to find additional hull plate anodes. No charge if not needing replacement.",
02,06/13/2023,,Heavy,,,Good,Divers friend plates located port and starboard and in good condition,
03,09/09/2023,,Heavy,Good,Sound,Good,"Divers Dream also located aft centerline. All anodes in good condition. Cleared engine intakes, cleaned up props, shafts, and rudders. ",
04,12/07/2023,,Heavy,"Fair, Replaced",Sound,Good,Replaced 3x shaft anodes. Rudder anodes to be replaced on next service. Divers dreams (plates) all looked good. Cleaned up running gear.,
05,03/04/2024,,"Heavy, Moderate","Fair, Good",Sound,Good,"Checked all anodes and engine intakes. Scrubbed down running gear. Visibility at zero, so no after video :( Hoping for better viz on next service. ",
06,06/10/2024,,"Heavy, Severe","Good, Replaced",Sound,Good,"Replaced port rudder anode, knocked down growth on running gear.",
