#,Anodes,Duration,Notes,Paint,Prop,Thru-hulls,Time In,Time Out
01,None,5,,Poor,None,Sound,1454,1459
02,None,17,,"Missing, Poor",None,Sound,1457,1514
03,None,-940,,"Missing, Poor",Good,Sound,1540,
05,,11,,,,,1454,1505
