#,Anodes,Date,Growth,Installed,Notes,Paint,Prop,Thru-hulls
01,Good,04/14/2023,Moderate,,,Fair,Good,Sound
02,Good,12/03/2024,"Moderate, Severe",,"No thru-hull obstructions found. Waterline is submerged along potties and bow, resulting in heavy barnacle and algae growth on gel coat. ","Fair, Poor",Good,Sound
03,"Good, Replaced",10/20/2025,Minimal,1,Installed prop nut B,Excellent,Good,Sound
