#,Time In,Time Out,Duration
10,1106,1134,28
09,1226,1252,26
08,1445,1530,45
07,1238,1312,34
06,1505,1552,47
05,1351,1432,41
04,1155,1246,51
03,1215,1303,48
02,1316,1405,49
01,1301,1346,45
