#,# Installed,$ Time,Adjustments,Duration,Time In,Time Out
01,,,,74,913,1027
02,,,,50,1210,1300
04,,,,38,1242,1320
03,,,$0.00,36,1355,1431
05,,,,10,1142,1152
06,,,,39,1333,1412
07,,,,42,1346,1428
08,,,,14,1203,1217
09,,,,24,1200,1224
10,,,,37,1115,1152
