Name,Customer Price,I Pay,List Price,Margin,Svendsen Retail
https://www.boatzincs.com/prop_nut_specs-rep.html,12.88,$7.16,$7.95,5,$12.88
,0,$0.00,,0,
Camp X-2 Shaft Anode,12.37,$8.18,$9.09,4,$12.37
