#,Date,Time In,Paint,Growth,Anodes,Thru-hulls,Prop,Notes,Time Out,Duration
02,05/23/2024,1210,Good,Moderate,Good,Sound,Good,,1250,40
01,05/06/2023,,,,,,,,,0
