#,Time In,Time Out,Duration
11,1107,1120,13
10,1200,1215,15
09,1234,1242,8
08,1240,1250,10
07,1419,1429,10
06,1411,1424,13
05,1409,1420,11
04,1253,1308,15
02,1303,1336,33
03,1215,1230,15
01,1144,1236,52
