#,Date,Paint,Growth,Anodes,Thru-hulls,Prop,Notes,Installed
01,11/08/2024,Poor,Severe,Missing,Sound,Damaged,Prop shaft is bent.,
02,03/06/2025,Poor,Severe,Missing,Sound,Damaged,,
