#,Time In,Time Out,Duration
18,1444,1503,19
14,1435,1455,20
13,1550,1603,13
11,1417,1428,11
10,1322,1336,14
09,1508,1518,10
06,1507,1540,33
08,1345,1415,30
07,1312,1337,25
05,1507,1540,33
04,1444,1516,32
03,1249,1325,36
02,1134,1207,33
01,1027,1111,44
