#,Anodes,Date,Growth,Installed,Notes,Paint,Prop,Thru-hulls
01,Good,03/13/2025,"Minimal, Moderate",,,Excellent,Polished,Sound
02,"Fair, Replaced",06/09/2025,"Heavy, Moderate",1,"Installed C prop anode. Rudder anode R2 to be replaced on next service. Paint anti-fouling is significantly diminished. ",Good,Polished,Sound
03,"Installed, Missing",09/03/2025,Moderate,1,"Installed R2. Will return with prop nut C. 
Installed prop nut anode C.",Good,Polished,Sound
