#,Date,Time In,Time Out,Duration
01,09/08/2023,1220,1240,20
02,10/09/2023,1150,1202,12
03,11/10/2023,1208,1225,17
04,12/01/2023,950,1007,17
05,01/10/2024,1307,1318,11
06,02/03/2024,1700,1711,11
07,03/08/2024,1435,1440,5
08,04/05/2024,1439,1449,10
09,05/03/2024,1637,1648,11
10,06/07/2024,1313,1319,6
11,07/12/2024,1237,1245,8
12,08/09/2024,1347,1357,10
13,09/13/2024,12,1210,718
14,10/10/2024,1350,1358,8
17,05/15/2025,1349,1358,9
21,10/20/2025,1524,1535,11
