#,Anodes,Date,Growth,Installed,Notes,Paint,Prop,Thru-hulls
01,None,04/09/2023,"Heavy, Minimal",,,"Good, Poor",None,Sound
03,None,10/01/2023,"Heavy, Moderate",,"Growth is increasing in tenacity. ","Fair, Poor",None,Sound
02,None,07/03/2023,"Heavy, Moderate",,Sink discharge appears to be affecting bottom paint around that thru-hull. Avoid allowing bleach down the drain.,"Fair, Poor",None,Sound
05,None,03/31/2024,Moderate,,Rudder is missing most of the paint,"Missing, Poor",None,Sound
04,None,01/10/2024,"Minimal, Moderate",,,"Fair, Poor",None,Sound
06,None,07/16/2024,Heavy,,,"Missing, Poor",None,Sound
07,None,10/18/2024,"Heavy, Moderate",,,"Missing, Poor",None,Sound
08,None,01/13/2025,Moderate,,,"Missing, Poor",None,Sound
09,None,07/17/2025,Moderate,,,"Missing, Poor",None,Sound
10,None,09/23/2025,"Heavy, Moderate",,,"Missing, Poor",None,Sound
