#,Anodes,Date,Growth,Installed,Notes,Paint,Prop,Thru-hulls
01,Fair,10/01/2023,Heavy,,"Heavy hard growth on waterline, lower keel, lower rudder, prop, and prop shaft. Paint anti-fouling properties have mostly failed. Will be much faster now and prop should work much better!",Poor,"Good, Polished",Sound
02,Fair,01/23/2025,"Heavy, Severe",,Large patches of heavy mussels and barnacles found and removed around the hull and keel. Ready for haul out!,"Missing, Poor",Good,Sound
