#,Date,Duration,Time In,Time Out
01,09/08/2023,20,1220,1240
03,11/10/2023,17,1208,1225
06,02/03/2024,11,1700,1711
04,12/01/2023,17,950,1007
05,01/10/2024,11,1307,1318
07,03/08/2024,5,1435,1440
02,10/09/2023,12,1150,1202
08,04/05/2024,10,1439,1449
09,05/03/2024,11,1637,1648
10,06/07/2024,6,1313,1319
11,07/12/2024,8,1237,1245
12,08/09/2024,10,1347,1357
13,09/13/2024,718,12,1210
14,10/10/2024,8,1350,1358
17,05/15/2025,9,1349,1358
21,10/20/2025,11,1524,1535
