#,Anodes,Date,Growth,Installed,Notes,Paint,Prop,Thru-hulls
01,Missing,05/07/2025,Severe,,"Widespread severe mussel and barnacle growth removed. Recommend hauling out for repainting ASAP. Anodes largely missing, will return to install new anodes.","Missing, Poor",Good,Sound
02,,06/04/2025,,7,"Installed 3 shaft, 2 rudder, and 2 trim tab anodes. Need to find correct size hull anode. ",,,
