#,Anodes,Date,Growth,Installed,Notes,Paint,Prop,Thru-hulls
01,Missing,11/08/2024,Severe,,Prop shaft is bent.,Poor,Damaged,Sound
02,Missing,03/06/2025,Severe,,,Poor,Damaged,Sound
