#,Date,Paint,Growth,Anodes,Thru-hulls,Prop,Notes
1,01/04/2023,Poor,Moderate,Fair,Sound,Good,
2,02/05/2023,Poor,Moderate,"Fair, Missing",Sound,"Good, Polished","Anode missing from keel, likely missing one shaft anode to be replaced on next visit"
3,03/04/2023,Poor,"Minimal, Moderate",Excellent,Sound,Good,"Hard-shelled animal growth observed and removed from keel, widespread embedded black algae. installed MTY-CMR04 RUDDER ZINC ANODE"
4,04/07/2023,Poor,"Minimal, Moderate",Excellent,Sound,Good,"Replaced shaft (streamlined 1”). Widespread heavy three-dimensional growth removed, widespread embedded black algae"
5,05/04/2023,Poor,"Minimal, Moderate",Good,Sound,Polished,"Waterline paint failure. Can no longer be cleaned without damaging gel coat/ hull. "
6,06/02/2023,Poor,"Heavy, Moderate",Good,Sound,Good,
,,,,,,,
