#,Date,Paint,Growth,Anodes,Thru-hulls,Prop,Notes,Installed
01,06/06/2025,"Missing, Poor",Heavy,Good,Sound,Polished,"“Catalina smile” crack around forward keel. Some gel coat damage in this area as well. Paint missing in various locations. Port aft waterline submerged. ",
02,10/24/2025,"Missing, Poor",Heavy,Good,Sound,Polished,"Aft waterline remains submerged causing heavy growth on the gelcoat above the bottom paint. Recommend redistributing weight aboard, or raising waterline on the next haul-out. Paint is no longer effective. Missing paint is widespread, along with small blisters, most notable on the rudder.",
