#,Date,Time In,Time Out,Duration
15,07/08/2025,,1211,731
14,,1152,1204,12
12,,1342,1404,22
11,,1333,1352,19
08,,1554,1611,17
10,,1428,1448,20
09,,1415,1442,27
06,,1449,1523,34
07,,1230,1300,30
07,,1315,1354,39
03,,1536,1613,37
05,,1415,1437,22
04,,1340,1426,46
01,,1200,1236,36
02,,1307,1344,37
